State,Solution
"[9, 3, 7, 2, 2, 9, 4, 5, 3, 5, 8, 3, 2, 0, 2, 9, 6, 8]",p011100 r+61000 r+20111 p001100 r+41100 r+40011 p000100 r+30001 r+21110 p010100 r-30101 r+31010 p010000 r+10100 r-11011 p110000 r-11100 r+60011 p110100 r+41101 r+40010
"[5, 0, 2, 5, 3, 11, 4, 5, 9, 10, 1, 7, 8, 11, 10, 3, 5, 8]",p011100 r+61000 r+40111 p001100 r-51100 r+60011 p000100 r+20001 r-51110 p010100 r-20101 r+51010 p010000 r-30100 r-51011 p110000 r-71100 r-70011 p110100 r-31101 r-20010
"[1, 5, 1, 9, 5, 11, 10, 8, 4, 11, 11, 11, 11, 4, 10, 8, 3, 2]",p011100 r+11000 r+10111 p001100 r+51100 r+30011 p000100 r-90001 r-10110 p010100 r+00101 r-51010 p010000 r+00100 r-41011 p110000 r+41100 r+00011 p110100 r-41101 r+50010
"[1, 6, 0, 2, 0, 10, 3, 6, 3, 0, 7, 11, 7, 10, 4, 9, 9, 9]",p011100 r+11000 r+10111 p001100 r+51100 r+40011 p000100 r+60001 r+21110 p010100 r+20101 r-21010 p010000 r+60100 r+11011 p110000 r-41100 r+00011 p110100 r-31101 r+30010
"[2, 1, 8, 0, 4, 11, 5, 7, 5, 4, 5, 10, 0, 4, 2, 7, 6, 7]",p011100 r-21000 r+10111 p001100 r+41100 r+40011 p000100 r-90001 r-10110 p010100 r-10101 r+31010 p010000 r-30100 r+51011 p110000 r-11100 r+50011 p110100 r+51101 r-10010
"[7, 8, 7, 5, 9, 8, 4, 3, 5, 5, 6, 5, 10, 9, 7, 7, 2, 8]",p011100 r-51000 r-40111 p001100 r-51100 r+50011 p000100 r-60001 r-41110 p010100 r+20101 r-21010 p010000 r-10100 r+21011 p110000 r-31100 r-40011 p110100 r-21101 r+30010
"[10, 11, 5, 4, 2, 5, 7, 10, 8, 7, 1, 2, 8, 11, 10, 4, 10, 5]",p011100 r+11000 r+00111 p001100 r+01100 r-50011 p000100 r-40001 r-31110 p010100 r-10101 r-31010 p010000 r-30100 r+11011 p110000 r+51100 r+50011 p110100 r+61101 r-20010
"[2, 2, 4, 1, 5, 1, 0, 9, 3, 8, 4, 10, 4, 3, 9, 9, 7, 0]",p011100 r-41000 r-10111 p001100 r-21100 r+40011 p000100 r-80001 r+01110 p010100 r-10101 r-11010 p010000 r-30100 r-11011 p110000 r-11100 r+00011 p110100 r+51101 r-10010
"[6, 6, 4, 5, 2, 0, 8, 1, 5, 8, 1, 6, 10, 2, 7, 7, 6, 4]",p011100 r-41000 r-20111 p001100 r-11100 r-10011 p000100 r-10001 r-41110 p010100 r+00101 r-11010 p010000 r-80100 r-41011 p110000 r-11100 r-90011 p110100 r-11101 r+10010
"[1, 0, 11, 0, 7, 9, 1, 11, 6, 1, 8, 11, 1, 5, 0, 6, 0, 11]",p011100 r+51000 r+10111 p001100 r+01100 r-20011 p000100 r+40001 r+31110 p010100 r-30101 r+11010 p010000 r-70100 r-81011 p110000 r+01100 r-50011 p110100 r+01101 r-30010
"[1, 10, 6, 10, 3, 9, 1, 6, 8, 6, 3, 11, 8, 1, 11, 4, 4, 11]",p011100 r-31000 r-30111 p001100 r+51100 r+30011 p000100 r+30001 r-41110 p010100 r+10101 r-41010 p010000 r-50100 r+21011 p110000 r+01100 r-50011 p110100 r-21101 r-20010
"[1, 7, 6, 7, 5, 11, 8, 1, 0, 6, 4, 11, 4, 10, 0, 0, 0, 4]",p011100 r-21000 r+60111 p001100 r+01100 r-20011 p000100 r-40001 r-11110 p010100 r+30101 r+11010 p010000 r+20100 r+61011 p110000 r+01100 r+00011 p110100 r+21101 r+60010
"[5, 2, 2, 8, 6, 0, 6, 8, 4, 10, 10, 7, 7, 1, 7, 8, 7, 6]",p011100 r+61000 r-50111 p001100 r+01100 r+40011 p000100 r+20001 r-41110 p010100 r+60101 r+51010 p010000 r-40100 r+01011 p110000 r-61100 r+30011 p110100 r-31101 r+30010
"[5, 10, 3, 6, 3, 9, 3, 6, 10, 9, 7, 7, 6, 4, 2, 2, 2, 9]",p011100 r+21000 r+40111 p001100 r+01100 r+30011 p000100 r-90001 r-11110 p010100 r+10101 r+51010 p010000 r-50100 r+01011 p110000 r-41100 r+10011 p110100 r-51101 r-30010
"[11, 10, 11, 11, 6, 4, 1, 5, 7, 1, 1, 1, 8, 0, 10, 5, 10, 11]",p011100 r+21000 r+20111 p001100 r+01100 r-10011 p000100 r-10001 r-31110 p010100 r-30101 r+21010 p010000 r+40100 r-51011 p110000 r+11100 r+50011 p110100 r+41101 r-10010
"[8, 3, 6, 8, 5, 5, 4, 4, 0, 6, 7, 4, 5, 11, 6, 0, 5, 8]",p011100 r+61000 r+10111 p001100 r-11100 r+10011 p000100 r-10001 r+61110 p010100 r-50101 r-41010 p010000 r-20100 r-21011 p110000 r-71100 r+20011 p110100 r-41101 r+40010
"[6, 11, 9, 0, 0, 9, 1, 3, 0, 3, 4, 6, 8, 1, 0, 0, 9, 11]",p011100 r+41000 r+50111 p001100 r-31100 r+60011 p000100 r-90001 r+01110 p010100 r+40101 r-31010 p010000 r-10100 r-21011 p110000 r+11100 r-40011 p110100 r+61101 r-30010
"[1, 6, 1, 9, 3, 11, 0, 3, 8, 11, 0, 11, 5, 2, 0, 4, 8, 0]",p011100 r+61000 r+40111 p001100 r-41100 r-40011 p000100 r+00001 r-51110 p010100 r+00101 r-51010 p010000 r+30100 r+11011 p110000 r+31100 r-50011 p110100 r+31101 r+20010
"[11, 9, 4, 1, 5, 3, 5, 11, 6, 8, 0, 1, 7, 6, 2, 6, 0, 7]",p011100 r+61000 r+10111 p001100 r-21100 r+40011 p000100 r-60001 r-11110 p010100 r+30101 r-51010 p010000 r+40100 r-31011 p110000 r-81100 r-70011 p110100 r-31101 r+60010
"[5, 2, 7, 7, 9, 1, 8, 5, 8, 5, 5, 7, 4, 11, 5, 4, 4, 4]",p011100 r-51000 r+30111 p001100 r-11100 r-40011 p000100 r-40001 r-61110 p010100 r+20101 r+31010 p010000 r+50100 r+11011 p110000 r-71100 r+10011 p110100 r-41101 r+60010
"[5, 6, 4, 3, 6, 9, 4, 4, 9, 8, 8, 7, 9, 6, 7, 3, 11, 8]",p011100 r-51000 r-40111 p001100 r+41100 r+50011 p000100 r-20001 r-41110 p010100 r-40101 r+31010 p010000 r+00100 r-11011 p110000 r-31100 r-10011 p110100 r+21101 r-20010
"[10, 7, 9, 4, 2, 4, 0, 9, 5, 3, 11, 2, 3, 6, 9, 7, 2, 0]",p011100 r+41000 r-40111 p001100 r+51100 r-50011 p000100 r-50001 r-61110 p010100 r-50101 r+21010 p010000 r-70100 r-21011 p110000 r-31100 r-40011 p110100 r+31101 r-50010
"[2, 3, 7, 1, 10, 10, 7, 0, 1, 5, 8, 10, 9, 7, 0, 11, 1, 5]",p011100 r+61000 r-50111 p001100 r+11100 r-20011 p000100 r+20001 r-41110 p010100 r+60101 r+61010 p010000 r-70100 r+01011 p110000 r-21100 r-10011 p110100 r-21101 r-10010
